path_id,source,target,source_year,target_year,source_country,target_country,spc_weight,splc_weight,edge_position
15,US4800895A,US4579125A,1986.0,1984.0,US,US,0.00668503,2.601e-05,6
15,US4579125A,US4417591A,1984.0,,US,US,0.01433145,0.00037714,7
15,US4417591A,US4213465A,,1978.0,US,US,0.02345338,0.00061719,8
15,US4213465A,US4084583A,1978.0,,US,US,0.00863951,0.00143992,9
15,US4084583A,US2549836A,,1946.0,US,US,0.01115681,0.00185947,10
15,US2549836A,US2426958A,1946.0,,US,US,0.00858606,0.00858606,11
16,US12232905B2,US6317627B1,,1999.0,US,US,9.155e-05,0.0,0
16,US6317627B1,US5813993A,1999.0,1996.0,US,US,0.01317445,1.27e-06,1
16,US5813993A,US5447166A,1996.0,1994.0,US,US,0.00986704,2.66e-06,2
16,US5447166A,US4913160A,1994.0,1988.0,US,US,0.01569869,8.56e-06,3
16,US4913160A,US4705049A,1988.0,1986.0,US,US,0.00571733,3.212e-05,4
16,US4705049A,US4603703A,1986.0,1984.0,US,US,0.01840082,0.00010338,5
16,US4603703A,US4416288A,1984.0,,US,US,0.009707,0.00015656,6
16,US4416288A,US4201224A,,1978.0,US,US,0.01619902,0.00031152,7
16,US4201224A,US3901215A,1978.0,1973.0,US,US,0.05897381,0.00393159,8
16,US3901215A,US3032029A,1973.0,,US,US,0.0100041,0.0100041,9
17,US11647999B1,US5938688A,,1997.0,US,US,2.077e-05,0.0,0
17,US5938688A,US5611350A,1997.0,1996.0,US,US,0.01135295,7.4e-07,1
17,US5611350A,US5495853A,1996.0,1994.0,US,US,0.00699162,1.61e-06,2
17,US5495853A,US5356368A,1994.0,1991.0,US,US,0.00553984,1.95e-06,3
17,US5356368A,US5036858A,1991.0,1990.0,US,US,0.00272897,3.14e-06,4
17,US5036858A,US4883067A,1990.0,1987.0,US,US,0.01114534,1.659e-05,5
17,US4883067A,US4462411A,1987.0,1982.0,US,US,0.00280039,3.889e-05,6
17,US4462411A,US4275744A,1982.0,1979.0,US,US,0.00324366,6.238e-05,7
17,US4275744A,US4092981A,1979.0,1976.0,US,US,0.02387176,0.00108508,8
17,US4092981A,US3978847A,1976.0,1974.0,US,US,0.06136788,0.00511399,9
17,US3978847A,US3821949A,1974.0,1972.0,US,US,0.01640419,0.00546806,10
17,US3821949A,US3123768A,1972.0,,US,US,0.00700301,0.00700301,11
18,US6966778B2,US6364845B1,,1999.0,US,US,0.00020037,0.0,0
18,US6364845B1,US5983129A,1999.0,1998.0,US,US,0.0132485,1e-07,1
18,US5983129A,US5450855A,1998.0,1994.0,US,US,0.00533303,3.6e-07,2
18,US5450855A,US5299118A,1994.0,1991.0,US,US,0.00907073,1.97e-06,3
18,US5299118A,US5047930A,1991.0,1987.0,US,US,0.00682951,6.36e-06,4
18,US5047930A,US4776345A,1987.0,1987.0,US,US,0.00994686,9.44e-06,5
18,US4776345A,US4610259A,1987.0,1983.0,US,US,0.02357663,2.962e-05,6
18,US4610259A,US4493327A,1983.0,1982.0,US,US,0.0719213,0.00034086,7
18,US4493327A,US4214591A,1982.0,1978.0,US,US,0.0009409,0.0009409,8
18,US4214591A,US3623477A,1978.0,,US,US,0.00526024,0.00526024,9
19,WO03085546A1,US6230049B1,,1999.0,WO,US,7.124e-05,0.0,0
19,US6230049B1,US5857978A,1999.0,1996.0,US,US,0.05046828,2.06e-06,1
19,US5857978A,US5392788A,1996.0,1993.0,US,US,0.04777863,2.89e-06,2
19,US5392788A,US4926969A,1993.0,1988.0,US,US,0.01037795,9.91e-06,3
19,US4926969A,US4697598A,1988.0,,US,US,0.00830048,2.508e-05,4
19,US4697598A,US4417592A,,1981.0,US,US,0.0075583,7.268e-05,5
19,US4417592A,US4171696A,1981.0,1978.0,US,US,0.00992455,0.00055136,6
19,US4171696A,US3656474A,1978.0,,US,US,0.00471351,0.00471351,7
20,US8062129B2,US6496724B1,,1999.0,US,US,0.00030833,0.0,0
20,US6496724B1,US5626145A,1999.0,1996.0,US,US,0.00286953,1.2e-07,1
20,US5626145A,US5392788A,1996.0,1993.0,US,US,0.05494542,3.32e-06,2
20,US5392788A,US5003986A,1993.0,,US,US,0.04483234,9.91e-06,3
20,US5003986A,US4610259A,,1983.0,US,US,0.00934711,1.174e-05,4
20,US4610259A,US4411273A,1983.0,1978.0,US,US,0.01363437,0.00034086,5
20,US4411273A,US4037586A,1978.0,1976.0,US,US,0.00767259,0.00036536,6
20,US4037586A,US2933364A,1976.0,,US,US,0.00245802,0.00245802,7
21,US7764989B2,US6549804B1,,1999.0,US,US,0.00048304,0.0,0
21,US6549804B1,US6304775B1,1999.0,1999.0,US,US,0.05787562,3.9e-07,1
21,US6304775B1,US5995868A,1999.0,1997.0,US,US,0.00997567,6.4e-07,2
21,US5995868A,US5626627A,1997.0,1995.0,US,US,0.02085234,3.22e-06,3
21,US5626627A,US4873981A,1995.0,1988.0,US,US,0.01742102,8.14e-06,4
21,US4873981A,US4503863A,1988.0,,US,US,0.00256321,4.344e-05,5
21,US4503863A,US3967616A,,1974.0,US,US,0.00805391,0.00021767,6
21,US3967616A,US3837331A,1974.0,1972.0,US,US,0.0040919,0.00045466,7
21,US3837331A,US2501808A,1972.0,,US,US,0.00724583,0.00724583,8
22,US7239919B2,US6115631A,,1998.0,US,US,0.00021193,0.0,0
22,US6115631A,US5983129A,1998.0,1998.0,US,US,0.00344824,3e-08,1
22,US5983129A,US5762611A,1998.0,,US,US,0.01335292,3.6e-07,2
22,US5762611A,US5460184A,,1993.0,US,US,0.00391722,7e-07,3
22,US5460184A,US4955388A,1993.0,1987.0,US,US,0.0065278,1.38e-06,4
22,US4955388A,US4610259A,1987.0,1983.0,US,US,0.0131826,1.656e-05,5
22,US4610259A,US4408616A,1983.0,1981.0,US,US,0.04874287,0.00034086,6
22,US4408616A,US3901215A,1981.0,1973.0,US,US,0.02772892,0.00184859,7
22,US3901215A,US3574450A,1973.0,,US,US,0.0100041,0.0100041,8
23,US12329589B2,WO0025668A1,,1999.0,US,WO,9.762e-05,0.0,0
23,WO0025668A1,US6011991A,1999.0,1998.0,WO,US,0.00068321,1e-08,1
23,US6011991A,US5816247A,1998.0,1996.0,US,US,0.00322573,7e-08,2
23,US5816247A,US5392788A,1996.0,1993.0,US,US,0.00334897,2e-07,3
23,US5392788A,US5003986A,1993.0,,US,US,0.04483234,9.91e-06,4
23,US5003986A,US4736307A,,1986.0,US,US,0.00866604,1.174e-05,5
23,US4736307A,US4498080A,1986.0,1983.0,US,US,0.00292684,1.428e-05,6
23,US4498080A,US4213465A,1983.0,1978.0,US,US,0.01282491,0.0003375,7
23,US4213465A,US3696808A,1978.0,1970.0,US,US,0.0158391,0.00143992,8
23,US3696808A,US3286176A,1970.0,,US,US,0.02495107,0.02495107,9
24,US20040220493A1,US6496724B1,,1999.0,US,US,0.00030833,0.0,0
24,US6496724B1,US5729205A,1999.0,1997.0,US,US,0.00239764,1.2e-07,1
24,US5729205A,US5649061A,1997.0,1995.0,US,US,0.0029521,2e-07,2
24,US5649061A,US5218530A,1995.0,1989.0,US,US,0.0113588,1.5e-06,3
24,US5218530A,US4744029A,1989.0,,US,US,0.0031135,1.52e-06,4
24,US4744029A,US4408616A,,1981.0,US,US,0.01788007,0.00012504,5
24,US4408616A,US3837331A,1981.0,1972.0,US,US,0.01663735,0.00184859,6
24,US3837331A,US3753433A,1972.0,1971.0,US,US,0.04347499,0.00724583,7
24,US3753433A,US3032029A,1971.0,,US,US,0.01610658,0.01610658,8
25,US20100286551A1,US6254536B1,,1998.0,US,US,9.662e-05,0.0,0
25,US6254536B1,US5649061A,1998.0,1995.0,US,US,0.0088563,6.1e-07,1
25,US5649061A,US5447166A,1995.0,1994.0,US,US,0.00558464,1.5e-06,2
25,US5447166A,US4987903A,1994.0,1988.0,US,US,0.01596419,8.56e-06,3
25,US4987903A,US4794533A,1988.0,,US,US,0.04543887,3.271e-05,4
25,US4794533A,US4412547A,,1981.0,US,US,0.01635846,7.865e-05,5
25,US4412547A,US4037586A,1981.0,1976.0,US,US,0.00949904,0.00045234,6
25,US4037586A,US2712309A,1976.0,,US,US,0.00245802,0.00245802,7
26,US7202793B2,US6496724B1,,1999.0,US,US,0.00030833,0.0,0
26,US6496724B1,US5762611A,1999.0,,US,US,0.00435095,1.2e-07,1
26,US5762611A,US5363858A,,1993.0,US,US,0.00605821,7e-07,2
26,US5363858A,US5170780A,1993.0,1991.0,US,US,0.00215464,1.14e-06,3
26,US5170780A,US4932416A,1991.0,1987.0,US,US,0.00555856,3.01e-06,4
26,US4932416A,US4649482A,1987.0,1984.0,US,US,0.01138952,2.229e-05,5
26,US4649482A,US4421122A,1984.0,1981.0,US,US,0.01330934,0.00016431,6
26,US4421122A,US4171696A,1981.0,1978.0,US,US,0.00721568,0.00040087,7
26,US4171696A,US3837331A,1978.0,1972.0,US,US,0.04242163,0.00471351,8
26,US3837331A,US3495596A,1972.0,,US,US,0.00724583,0.00724583,9
27,US8326417B2,US6230049B1,,1999.0,US,US,7.124e-05,0.0,0
27,US6230049B1,US5730146A,1999.0,1994.0,US,US,0.00530616,2.06e-06,1
27,US5730146A,US4744029A,1994.0,,US,US,0.00542308,2.65e-06,2
27,US4744029A,US4201224A,,1978.0,US,US,0.00650184,0.00012504,3
27,US4201224A,US3893450A,1978.0,1973.0,US,US,0.05504222,0.00393159,4
27,US3893450A,US3498287A,1973.0,,US,US,0.0095426,0.0095426,5
28,US8326417B2,US6128538A,,1999.0,US,US,1.901e-05,0.0,0
28,US6128538A,US6016449A,1999.0,1997.0,US,US,0.00600363,5e-07,1
28,US6016449A,US5269302A,1997.0,1992.0,US,US,0.00958648,4.38e-06,2
28,US5269302A,US4878498A,1992.0,1989.0,US,US,0.04757904,2.226e-05,3
28,US4878498A,US4503863A,1989.0,,US,US,0.00357247,6.055e-05,4
28,US4503863A,US3893450A,,1973.0,US,US,0.00304742,0.00021767,5
28,US3893450A,US3087487A,1973.0,,US,US,0.0095426,0.0095426,6
29,US8209019B2,US6549804B1,,1999.0,US,US,0.00048304,0.0,0
29,US6549804B1,US5813993A,1999.0,1996.0,US,US,0.00404504,3.9e-07,1
29,US5813993A,US5311877A,1996.0,1992.0,US,US,0.00181768,2.66e-06,2
29,US5311877A,US4883067A,1992.0,1987.0,US,US,0.00272492,4.05e-06,3
29,US4883067A,US4493327A,1987.0,1982.0,US,US,0.00820669,3.889e-05,4
29,US4493327A,US4275744A,1982.0,1979.0,US,US,0.04892695,0.0009409,5
29,US4275744A,US3498287A,1979.0,,US,US,0.00108508,0.00108508,6
30,US7146211B2,US6230049B1,,1999.0,US,US,7.124e-05,0.0,0
30,US6230049B1,US5857978A,1999.0,1996.0,US,US,0.05046828,2.06e-06,1
30,US5857978A,US5349962A,1996.0,1993.0,US,US,0.00629312,2.89e-06,2
30,US5349962A,US3993046A,1993.0,1974.0,US,US,0.00037987,1.461e-05,3
30,US3993046A,US3837331A,1974.0,1972.0,US,US,0.00063043,7.005e-05,4
30,US3837331A,US3413546A,1972.0,,US,US,0.00724583,0.00724583,5
